Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Prod_Leit
15009;13851;1.76;1.2;3;1;265;19021;1.4
15009;13851;1.76;1.2;3;1;300;19021;1.2
15009;13851;1.76;1.2;3;1;325;19021;1.0
15009;13851;1.76;1.2;3;1;364;19021;1.0
15009;13851;1.76;1.2;4;1;94;19021;3.1
15009;13851;1.76;1.2;4;2;119;19021;1.8
15009;13851;1.76;1.2;4;2;209;19021;0.5
15009;13851;1.76;1.2;5;2;433;19021;0.7
15009;13851;1.76;1.2;5;2;457;19021;1.3
13825;13851;1.69;1.2;4;1;9;16313;3.7
13825;13851;1.69;1.2;4;1;86;16313;1.6
13825;13851;1.69;1.2;5;1;125;16313;1.8
13825;13851;1.69;1.2;5;1;175;16313;1.7
13825;13851;1.69;1.2;5;1;11;16313;2.7
13825;13851;1.69;1.2;5;2;25;16313;2.1
13825;13851;1.69;1.2;5;2;57;16313;2.6
13825;13851;1.69;1.2;5;2;82;16313;2.2
13825;13851;1.69;1.2;6;2;123;16313;1.6
13825;13851;1.69;1.2;6;2;148;16313;0.9
13825;13851;1.69;1.2;6;2;176;16313;0.8
13825;13851;1.69;1.2;6;2;8;16313;3
13825;13851;1.69;1.2;6;3;47;16313;2.8
13825;13851;1.69;1.2;6;3;74;16313;1.9
13825;13851;1.69;1.2;6;3;110;16313;1.1
13825;13851;1.69;1.2;6;3;141;16313;0.9
13825;13851;1.69;1.2;7;3;207;16313;0.4
13825;13851;1.69;1.2;7;3;20;16313;1.4
13825;13894;1.69;1.53;4;1;50;16317;2.8
13825;13894;1.69;1.53;4;1;127;16317;0.9
13825;13894;1.69;1.53;5;1;166;16317;1.2
13825;13894;1.69;1.53;5;1;216;16317;0.6
14101;14003;1.66;1.23;5;1;775;15027;1.0
13362;14015;1.46;1.17;2;1;28;21058;1.3
13362;14015;1.46;1.17;2;1;140;21058;1.6
13362;14015;1.46;1.17;2;1;171;21058;1.6
13362;14015;1.46;1.17;2;1;205;21058;1.2
13362;14015;1.46;1.17;3;1;252;21058;1.2
13362;14015;1.46;1.17;3;1;276;21058;0.8
15009;14015;1.76;1.17;2;1;125;19065;2.7
15009;14015;1.76;1.17;2;1;168;19065;3.2
15009;14015;1.76;1.17;2;1;182;19065;2.4
15009;14015;1.76;1.17;2;1;214;19065;2.6
15009;14015;1.76;1.17;2;1;239;19065;2.3
15009;14015;1.76;1.17;3;1;280;19065;1.7
15009;14015;1.76;1.17;3;1;305;19065;1.0
15009;14015;1.76;1.17;3;1;333;19065;1.3
15009;14015;1.76;1.17;3;1;364;19065;0.7
15009;14015;1.76;1.17;3;1;10;19065;3.5
15009;14015;1.76;1.17;3;2;35;19065;3.2
15009;14015;1.76;1.17;3;2;74;19065;3.3
15009;14015;1.76;1.17;3;2;101;19065;3.3
15009;14015;1.76;1.17;3;2;137;19065;2.3
15009;14015;1.76;1.17;3;2;168;19065;0.8
15009;14015;1.76;1.17;4;2;234;19065;1.5
15009;14015;1.76;1.17;4;2;259;19065;0.7
15009;14015;1.76;1.17;2;1;140;19066;2.4
15009;14015;1.76;1.17;2;1;183;19066;2
15009;14015;1.76;1.17;2;1;197;19066;1.9
15009;14015;1.76;1.17;2;1;229;19066;2
15009;14015;1.76;1.17;2;1;254;19066;2
15009;14015;1.76;1.17;3;1;295;19066;1.2
15009;14015;1.76;1.17;3;1;320;19066;1.0
15009;14015;1.76;1.17;3;1;348;19066;0.5
15009;14015;1.76;1.17;3;1;7;19066;3.6
15009;14015;1.76;1.17;3;2;32;19066;2.1
15009;14015;1.76;1.17;3;2;71;19066;1.8
15009;14015;1.76;1.17;3;2;98;19066;1.7
15009;14015;1.76;1.17;3;2;134;19066;1.6
15009;14015;1.76;1.17;3;2;165;19066;1.1
15009;14015;1.76;1.17;4;2;231;19066;1.2
15009;14015;1.76;1.17;4;2;256;19066;0.5
15009;14015;1.76;1.17;4;2;7;19066;1.6
15009;14015;1.76;1.17;4;3;119;19066;1.2
15009;14015;1.76;1.17;4;3;150;19066;1.6
15009;14015;1.76;1.17;4;3;184;19066;1.3
15009;14015;1.76;1.17;5;3;231;19066;1.2
15009;14015;1.76;1.17;5;3;255;19066;0.7
14101;14031;1.66;1.87;1;1;30;20062;2
14101;14031;1.66;1.87;1;1;55;20062;1.7
14101;14031;1.66;1.87;2;1;96;20062;1.5
14101;14031;1.66;1.87;2;1;121;20062;1.3
14101;14031;1.66;1.87;2;1;149;20062;1.2
14101;14031;1.66;1.87;2;1;180;20062;1.4
14101;14031;1.66;1.87;2;1;210;20062;1.3
