Brinco_Pai;Brinco_Mae;Media_Pai;Media_Mae;Idade;Ordem_Lac;DEL;Brinco_Animal;Media_Prod;Classe
13362;16317;1.46;1.38;4;2;276;20016;1.53;3
19078;17004;1.58;0.98;2;1;280;21022;1.23;3
19078;17004;1.58;0.98;3;2;161;21022;2.52;2
10011;17031;1.41;1.25;3;1;246;19079;1.6;3
10011;17031;1.41;1.25;4;2;221;19079;1.41;3
10011;17031;1.41;1.25;5;3;255;19079;1.65;3
10011;17031;1.41;1.25;2;1;212;19080;1.58;3
19078;18020;1.58;1.69;2;1;335;21014;1.93;3
19078;18020;1.58;1.69;3;2;80;21014;1.7;3
14101;18030;1.66;0.74;3;1;270;20018;1.71;3
14101;18030;1.66;0.74;4;2;277;20018;1.82;3
19078;18033;1.58;2.81;3;1;264;21076;1.52;3
19078;18036;1.58;0.81;3;1;273;21062;1.28;3
19078;18046;1.58;2.32;3;1;268;21091;0.75;4
19078;18046;1.58;2.32;3;1;272;21092;2.2;2
19078;19003;1.58;2.24;2;1;135;21082;0.2;4
19078;19025;1.58;2.43;2;1;344;21015;2.89;2
19078;19028;1.58;1.7;2;1;246;21029;1.15;3
19078;19028;1.58;1.7;2;2;24;21029;1.5;3
13362;19041;1.46;2.9;2;1;226;21007;1.24;3
13362;19041;1.46;2.9;3;2;250;21007;0.92;4
19078;19047;1.58;2.31;2;1;336;21008;1.86;3
19078;19047;1.58;2.31;3;2;66;21008;1.6;3
19078;19049;1.58;1.71;2;1;26;21048;0.6;4
13362;19051;1.46;1.76;2;1;214;21031;1.9;3
13362;19065;1.46;2.15;2;1;341;21030;2.63;2
13362;19065;1.46;2.15;3;2;104;21030;2.47;2
19078;19066;1.58;1.55;2;1;341;21026;2.38;2
19078;19072;1.58;1.17;2;1;129;21010;0.7;4
19078;19099;1.58;1.65;2;1;250;21033;1.72;3
19078;20004;1.58;1.12;2;1;153;22002;1.8;3
